location,category_name,sub_category_url,sub_category_name,all_categories,Title,Number of Watchers,Price,Condtion,Page_url,item_number,'item_number',Start date of listing,End date of listing
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",Gianni Versace Vintage Sunglasses Mod.T24/C (852RH) Stones Men's Shade Biggie,3,US $120.00,not specified,https://www.ebay.com/itm/176482257652?itmmeta=01J41AHK4TRD9DHRDDP7FBCB22&hash=item2917298af4:g:ZzwAAOSwWTRmnKct,1.76482E+11,'176482257652',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Men's Hats",[Borsalino] Top model Montecristi Extra Fine Panama hat wide brim 61 v5254,3,"US $1,385.46",not specified,https://www.ebay.com/itm/156314461815?itmmeta=01J41AHK4T2XZ4QKR6ZPCTMW1K&hash=item2465116677:g:W0YAAOSwqCZmnNqM,1.56314E+11,'156314461815',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Men's Hats",[Borsalino x Nick Fouquet]  Luxury Panama hat wide brim 62 v5234-2701,2,US $650.90,not specified,https://www.ebay.com/itm/156314468676?itmmeta=01J41AHK4TJF6KKZH811H1DE1E&hash=item2465118144:g:m-QAAOSw2A1mnN0b,1.56314E+11,'156314468676',,
"Nagasaki, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Eyeglasses",HILTON CLASSIC 1 PANTO col.CHESTNUT Vintage glasses 49?20/49?22,2,US $655.00,not specified,https://www.ebay.com/itm/355887917943?itmmeta=01J41AHK4SYQFDP1JYFYBHCF9G&hash=item52dc92ab77:g:uWUAAOSwcqNmnQsW&var=624948211835,3.55888E+11,'355887917943',,
"JP, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Men's Vintage Clothing > Jeans",LEVI'S LEVIS Barbershop banner retro poster with Frame,1,US $265.55,not specified,https://www.ebay.com/itm/166879877533?itmmeta=01J41AHK4S7Z9TZ0P1ZRW4TVRZ&hash=item26dad0d99d:g:x1IAAOSwhMFmnWqh,1.6688E+11,'166879877533',,
"JP, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",VINTAGE JEAN PAUL GAULTIER 56 3173 OVAL SILVER FRAME SUNGLASSES 1990'S JAPAN,3,US $269.99,not specified,https://www.ebay.com/itm/204900208836?itmmeta=01J41AHK4SJBB5Q2DNVPYSRNV9&hash=item2fb50110c4:g:4msAAOSwTqJmULUj,2.049E+11,'204900208836',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Men's Vintage Clothing > Outerwear Coats & Jackets",Vintage 1940s 1950s EL GRANDEE Fred Harvey Chimayo Jacket Rug Jacket Rare,1,US $889.00,not specified,https://www.ebay.com/itm/326207499986?itmmeta=01J41AHK4SJ3B3MN5118T284SB&hash=item4bf37b6ed2:g:zLUAAOSwLzNmndz-,3.26207E+11,'326207499986',,
"Hannanshi Osakahu, default, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",Jean Paul GAULTIER 90s Archive Sunglasses,9,US $467.58,not specified,https://www.ebay.com/itm/296584124168?itmmeta=01J41AHET449ESHQ1MPF5FH6K4&hash=item450dca9708:g:sRcAAOSwKZhmnfmo,2.96584E+11,'296584124168',,
"Yokohama, JAPAN, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Women > Women's Clothing > Tops > Clothing, Shoes & Accessories > Specialty > Vintage > Women's Vintage Clothing > Tops",CHANEL Vintage 01A CC Mark Logo Knit Tank Top #38 Sleeveless Pink Wool Rank AB+,4,US $312.00,Pre-owned,https://www.ebay.com/itm/315578422212?itmmeta=01J41AHET4GWCHZ1Z6PBZEW39S&hash=item4979f093c4:g:sEgAAOSw3UpmneRW,3.15578E+11,'315578422212',,
"Yokohama, JAPAN, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Women > Women's Clothing > Tops > Clothing, Shoes & Accessories > Specialty > Vintage > Women's Vintage Clothing > Tops",CHANEL Vintage 99S CC Mark Logo T-shirt Top #44 Flower Print White Nylon Rank AB,3,US $312.00,Pre-owned,https://www.ebay.com/itm/315578435457?itmmeta=01J41AHET42Z9NH9A410KFAZTF&hash=item4979f0c781:g:VQcAAOSweu9mnej7,3.15578E+11,'315578435457',,
